Store Name,amenity,leisure,shop,count
CASEY'S GENERAL STORE #1659 / ANKENY,pub,None,None,4
CASEY'S GENERAL STORE #1659 / ANKENY,restaurant,None,None,14
CASEY'S GENERAL STORE #1659 / ANKENY,cafe,None,None,2
CASEY'S GENERAL STORE #1659 / ANKENY,bar,None,None,2
CASEY'S GENERAL STORE #1659 / ANKENY,None,stadium,None,10
CASEY'S GENERAL STORE #1659 / ANKENY,None,None,supermarket,1
CASEY'S GENERAL STORE #1910 / JOHNSTON,None,None,supermarket,2
CASEY'S GENERAL STORE #1910 / JOHNSTON,None,stadium,None,1
CASEY'S GENERAL STORE #1910 / JOHNSTON,bar,None,None,1
CASEY'S GENERAL STORE #1910 / JOHNSTON,cafe,None,None,1
CASEY'S GENERAL STORE #1910 / JOHNSTON,pub,None,None,2
CASEY'S GENERAL STORE #1910 / JOHNSTON,restaurant,None,None,6
CASEY'S GENERAL STORE #1938 / ALTOONA,restaurant,None,None,9
CASEY'S GENERAL STORE #1938 / ALTOONA,pub,None,None,2
CASEY'S GENERAL STORE #1938 / ALTOONA,None,None,supermarket,1
CASEY'S GENERAL STORE #1938 / ALTOONA,bar,None,None,1
CASEY'S GENERAL STORE #1938 / ALTOONA,cafe,None,None,1
CASEY'S GENERAL STORE #1941 / ANKENY,None,None,supermarket,1
CASEY'S GENERAL STORE #1941 / ANKENY,cafe,None,None,4
CASEY'S GENERAL STORE #1941 / ANKENY,restaurant,None,None,15
CASEY'S GENERAL STORE #2099 / CLIVE,restaurant,None,None,2
CASEY'S GENERAL STORE #2150 / WDM,pub,None,None,1
CASEY'S GENERAL STORE #2150 / WDM,restaurant,None,None,5
CASEY'S GENERAL STORE #2150 / WDM,None,None,supermarket,1
CASEY'S GENERAL STORE #2150 / WDM,cafe,None,None,2
CASEY'S GENERAL STORE #2164 / ANKENY,None,None,supermarket,2
CASEY'S GENERAL STORE #2164 / ANKENY,pub,None,None,1
CASEY'S GENERAL STORE #2164 / ANKENY,restaurant,None,None,5
CASEY'S GENERAL STORE #2297 / WDM,None,None,supermarket,1
CASEY'S GENERAL STORE #2297 / WDM,bar,None,None,5
CASEY'S GENERAL STORE #2297 / WDM,cafe,None,None,3
CASEY'S GENERAL STORE #2297 / WDM,pub,None,None,1
CASEY'S GENERAL STORE #2297 / WDM,restaurant,None,None,14
CASEY'S GENERAL STORE #2364 / URBANDALE,restaurant,None,None,2
CASEY'S GENERAL STORE #2392,pub,None,None,2
CASEY'S GENERAL STORE #2392,restaurant,None,None,7
CASEY'S GENERAL STORE #2392,bar,None,None,1
